gene,sig,sig_cell_types
POSTN,7,"['CD4+ T cells', 'CD8+ T cells', 'CLEC10A+ DCs', 'Langerhans', 'Macrophages', 'Mast cells', 'Tregs']"
TNXB,7,"['CD4+ T cells', 'CD8+ T cells', 'CLEC10A+ DCs', 'CLEC9A+ DCs', 'Macrophages', 'Mast cells', 'Tregs']"
DIO2,7,"['CD4+ T cells', 'CD8+ T cells', 'CLEC10A+ DCs', 'CLEC9A+ DCs', 'Macrophages', 'Mast cells', 'Tregs']"
STAT1,7,"['CD4+ T cells', 'CD8+ T cells', 'CLEC10A+ DCs', 'CLEC9A+ DCs', 'Langerhans', 'Macrophages', 'Mast cells']"
IRF1,7,"['CD4+ T cells', 'CD8+ T cells', 'CLEC10A+ DCs', 'CLEC9A+ DCs', 'Macrophages', 'Mast cells', 'Tregs']"
JAK3,7,"['CD4+ T cells', 'CD8+ T cells', 'CLEC10A+ DCs', 'CLEC9A+ DCs', 'Macrophages', 'Mast cells', 'Tregs']"
CFH,6,"['CD4+ T cells', 'CLEC10A+ DCs', 'CLEC9A+ DCs', 'Macrophages', 'Mast cells', 'Tregs']"
CD99,6,"['CD4+ T cells', 'CLEC10A+ DCs', 'CLEC9A+ DCs', 'Langerhans', 'Macrophages', 'Tregs']"
ABI3,6,"['CD4+ T cells', 'CD8+ T cells', 'CLEC10A+ DCs', 'CLEC9A+ DCs', 'Macrophages', 'Tregs']"
CCDC80,6,"['CD4+ T cells', 'CD8+ T cells', 'CLEC10A+ DCs', 'CLEC9A+ DCs', 'Macrophages', 'Tregs']"
HIF1A,6,"['CD4+ T cells', 'CLEC10A+ DCs', 'Langerhans', 'Macrophages', 'Mast cells', 'Tregs']"
DPT,5,"['CD4+ T cells', 'CLEC10A+ DCs', 'CLEC9A+ DCs', 'Macrophages', 'Tregs']"
SCN4B,5,"['CD4+ T cells', 'CD8+ T cells', 'CLEC10A+ DCs', 'Macrophages', 'Tregs']"
PPP1R16B,5,"['CD4+ T cells', 'CD8+ T cells', 'CLEC10A+ DCs', 'Macrophages', 'Tregs']"
CD34,5,"['CD4+ T cells', 'CLEC10A+ DCs', 'CLEC9A+ DCs', 'Macrophages', 'Tregs']"
PLEC,5,"['CD4+ T cells', 'CLEC10A+ DCs', 'CLEC9A+ DCs', 'Macrophages', 'Tregs']"
SOCS3,5,"['CD4+ T cells', 'CLEC10A+ DCs', 'Macrophages', 'Mast cells', 'Tregs']"
GIMAP5,5,"['CD4+ T cells', 'CD8+ T cells', 'CLEC10A+ DCs', 'Macrophages', 'Tregs']"
TPPP,5,"['CD4+ T cells', 'CD8+ T cells', 'Macrophages', 'Mast cells', 'Tregs']"
PIM2,5,"['CD4+ T cells', 'CLEC10A+ DCs', 'CLEC9A+ DCs', 'Macrophages', 'Tregs']"
CXCL13,5,"['CD4+ T cells', 'CLEC10A+ DCs', 'Macrophages', 'Mast cells', 'Tregs']"
FCER1A,5,"['CD4+ T cells', 'CLEC10A+ DCs', 'CLEC9A+ DCs', 'Macrophages', 'Mast cells']"
SLIT2,5,"['CD4+ T cells', 'CLEC10A+ DCs', 'CLEC9A+ DCs', 'Macrophages', 'Mast cells']"
CTHRC1,5,"['CD4+ T cells', 'CLEC10A+ DCs', 'CLEC9A+ DCs', 'Macrophages', 'Mast cells']"
L1CAM,4,"['CD4+ T cells', 'CD8+ T cells', 'Mast cells', 'Tregs']"
PTGER3,4,"['CD4+ T cells', 'CLEC10A+ DCs', 'CLEC9A+ DCs', 'Macrophages']"
PTGER4,4,"['CD4+ T cells', 'CD8+ T cells', 'Macrophages', 'Tregs']"
CADM3,4,"['CD4+ T cells', 'CLEC10A+ DCs', 'Macrophages', 'Tregs']"
PRNP,4,"['CD4+ T cells', 'CD8+ T cells', 'Macrophages', 'Tregs']"
ST14,4,"['CLEC10A+ DCs', 'CLEC9A+ DCs', 'Macrophages', 'Mast cells']"
CDKN1A,4,"['CLEC10A+ DCs', 'CLEC9A+ DCs', 'Macrophages', 'Tregs']"
FCMR,4,"['CD4+ T cells', 'CD8+ T cells', 'Macrophages', 'Tregs']"
ATP2B1,4,"['CD4+ T cells', 'CLEC10A+ DCs', 'Macrophages', 'Tregs']"
PLEKHH2,4,"['CD8+ T cells', 'CLEC10A+ DCs', 'CLEC9A+ DCs', 'Macrophages']"
COLEC12,4,"['CD4+ T cells', 'CLEC10A+ DCs', 'CLEC9A+ DCs', 'Macrophages']"
SDC2,4,"['CD4+ T cells', 'CD8+ T cells', 'CLEC10A+ DCs', 'Tregs']"
IRX1,4,"['CD4+ T cells', 'CLEC10A+ DCs', 'Macrophages', 'Tregs']"
