gene,sig,sig_cell_types
JAK3,4,"['CD4+ T cells', 'CLEC10A+ DCs', 'Macrophages', 'Mast cells']"
CD1C,3,"['CLEC10A+ DCs', 'CLEC9A+ DCs', 'Macrophages']"
SLC40A1,3,"['CD4+ T cells', 'CLEC10A+ DCs', 'Macrophages']"
HOXB7,3,"['CD4+ T cells', 'CLEC10A+ DCs', 'Macrophages']"
FCER1A,3,"['CD4+ T cells', 'CLEC10A+ DCs', 'Macrophages']"
MVP,3,"['CD4+ T cells', 'CLEC10A+ DCs', 'Macrophages']"
CTSL,2,"['CD4+ T cells', 'Macrophages']"
P4HB,2,"['CLEC10A+ DCs', 'Macrophages']"
P2RY14,2,"['CLEC10A+ DCs', 'Macrophages']"
SLC39A8,2,"['CLEC10A+ DCs', 'Macrophages']"
CTSK,2,"['CD4+ T cells', 'Macrophages']"
CYBB,2,"['CLEC10A+ DCs', 'Macrophages']"
GBP1,2,"['CLEC10A+ DCs', 'Macrophages']"
VSIG4,2,"['CLEC10A+ DCs', 'Macrophages']"
MRC1,2,"['CLEC10A+ DCs', 'Macrophages']"
SLAMF7,2,"['CLEC10A+ DCs', 'Macrophages']"
CYP1B1,2,"['CD4+ T cells', 'Macrophages']"
FPR1,2,"['CLEC10A+ DCs', 'Macrophages']"
THY1,2,"['CLEC10A+ DCs', 'Macrophages']"
DIO2,2,"['CLEC10A+ DCs', 'Macrophages']"
HYOU1,2,"['CLEC10A+ DCs', 'Macrophages']"
GIMAP4,2,"['CD4+ T cells', 'Macrophages']"
DMWD,2,"['CLEC10A+ DCs', 'Macrophages']"
ALOX5,2,"['CLEC10A+ DCs', 'Macrophages']"
ALOX15,2,"['CLEC10A+ DCs', 'Macrophages']"
CD302,2,"['CLEC10A+ DCs', 'Macrophages']"
SOCS3,2,"['CD4+ T cells', 'Macrophages']"
LDHA,2,"['CLEC10A+ DCs', 'Macrophages']"
MMP14,2,"['CLEC10A+ DCs', 'Macrophages']"
PKM,2,"['CLEC10A+ DCs', 'Macrophages']"
STEAP4,2,"['CLEC10A+ DCs', 'Macrophages']"
PDIA3,2,"['CLEC10A+ DCs', 'Macrophages']"
GSTO1,2,"['CLEC10A+ DCs', 'Macrophages']"
LILRB1,2,"['CLEC10A+ DCs', 'Macrophages']"
STAT3,2,"['CLEC10A+ DCs', 'Macrophages']"
CFB,2,"['CLEC10A+ DCs', 'Macrophages']"
STAT1,2,"['CLEC10A+ DCs', 'Macrophages']"
KLRK1,2,"['CD4+ T cells', 'Macrophages']"
ST14,2,"['CLEC10A+ DCs', 'Macrophages']"
EIF4G1,2,"['CD4+ T cells', 'Macrophages']"
ABI3,2,"['CLEC10A+ DCs', 'Macrophages']"
FCGR3A,2,"['CLEC10A+ DCs', 'Macrophages']"
EIF4A1,2,"['CD4+ T cells', 'Macrophages']"
APCDD1,2,"['CD4+ T cells', 'Macrophages']"
IRF1,2,"['CLEC10A+ DCs', 'Macrophages']"
EPAS1,2,"['CD4+ T cells', 'CLEC10A+ DCs']"
NDRG2,2,"['CLEC10A+ DCs', 'Macrophages']"
NDRG1,2,"['CLEC10A+ DCs', 'Macrophages']"
TYMP,2,"['CLEC10A+ DCs', 'Macrophages']"
CD8A,1,['CD4+ T cells']
PAX8,1,['Macrophages']
HNRNPM,1,['Macrophages']
TAP1,1,['Macrophages']
CD44,1,['Macrophages']
PAPSS1,1,['Macrophages']
TNFRSF21,1,['Macrophages']
NCF4,1,['Macrophages']
CD300E,1,['Macrophages']
NCF1,1,['Macrophages']
KAT2A,1,['Macrophages']
HPGDS,1,['Macrophages']
CD1E,1,['CLEC10A+ DCs']
ITM2A,1,['Macrophages']
ITGB2,1,['Macrophages']
CD1B,1,['CLEC10A+ DCs']
CD1A,1,['CLEC10A+ DCs']
CD96,1,['CD4+ T cells']
ATP1A1,1,['Macrophages']
ATP5F1A,1,['Macrophages']
CD163,1,['Macrophages']
MXD1,1,['Macrophages']
MYH9,1,['Macrophages']
CEBPA,1,['Macrophages']
ARNTL,1,['Macrophages']
PDIA4,1,['Macrophages']
STAT6,1,['Macrophages']
STAU1,1,['Macrophages']
MYLK,1,['Macrophages']
MYOF,1,['Macrophages']
STEAP1,1,['Macrophages']
HCK,1,['Macrophages']
CDKN1A,1,['Macrophages']
PDGFC,1,['Macrophages']
PDGFB,1,['Macrophages']
PDE2A,1,['Macrophages']
STMN3,1,['Macrophages']
HDAC9,1,['Macrophages']
SULF2,1,['Macrophages']
HK1,1,['Macrophages']
HRH1,1,['Macrophages']
IRS2,1,['Macrophages']
CD14,1,['Macrophages']
IL11RA,1,['Macrophages']
