gene,sig,n_up,n_down,sig_cell_types
DIO2,7,7,0,"['CD4+ T cells', 'CD8+ T cells', 'CLEC10A+ DCs', 'CLEC9A+ DCs', 'Macrophages', 'Mast cells', 'Tregs']"
CFH,6,0,6,"['CD4+ T cells', 'CD8+ T cells', 'CLEC10A+ DCs', 'Macrophages', 'Mast cells', 'Tregs']"
JAK3,6,6,0,"['CD4+ T cells', 'CLEC10A+ DCs', 'CLEC9A+ DCs', 'Macrophages', 'Mast cells', 'Tregs']"
CD14,6,6,0,"['CD4+ T cells', 'CD8+ T cells', 'CLEC10A+ DCs', 'Langerhans', 'Mast cells', 'Tregs']"
CTHRC1,5,5,0,"['CD4+ T cells', 'CLEC10A+ DCs', 'Macrophages', 'Mast cells', 'Tregs']"
SERPINB9,5,5,0,"['CD4+ T cells', 'CLEC10A+ DCs', 'CLEC9A+ DCs', 'Macrophages', 'Tregs']"
ABI3,5,5,0,"['CD8+ T cells', 'CLEC10A+ DCs', 'CLEC9A+ DCs', 'Macrophages', 'Tregs']"
IGFBP2,5,5,0,"['CD4+ T cells', 'CLEC10A+ DCs', 'CLEC9A+ DCs', 'Macrophages', 'Mast cells']"
HOXB7,5,0,5,"['CD8+ T cells', 'CLEC10A+ DCs', 'CLEC9A+ DCs', 'Macrophages', 'Tregs']"
TNC,5,5,0,"['CLEC10A+ DCs', 'CLEC9A+ DCs', 'Macrophages', 'Mast cells', 'Tregs']"
CD1C,4,0,4,"['CD4+ T cells', 'CLEC10A+ DCs', 'CLEC9A+ DCs', 'Macrophages']"
SOCS3,4,4,0,"['CD4+ T cells', 'Macrophages', 'Mast cells', 'Tregs']"
CCDC80,4,0,4,"['CD4+ T cells', 'CD8+ T cells', 'CLEC9A+ DCs', 'Tregs']"
HIF1A,4,4,0,"['CLEC10A+ DCs', 'Langerhans', 'Macrophages', 'Tregs']"
ADAMTS1,4,4,0,"['CD4+ T cells', 'CLEC10A+ DCs', 'Macrophages', 'Mast cells']"
TYMP,4,4,0,"['CLEC10A+ DCs', 'Langerhans', 'Macrophages', 'Tregs']"
PER3,4,0,4,"['CD4+ T cells', 'CD8+ T cells', 'CLEC10A+ DCs', 'Macrophages']"
SLIT2,4,0,4,"['CD4+ T cells', 'CLEC10A+ DCs', 'Macrophages', 'Mast cells']"
